TipusCasData,MunicipiDescripcio,SexeDescripcio,TipusCasDescripcio,NumCasos
01/02/2021,SANT ADRIÀ DE BESÒS,Dona,Positiu per ELISA,5
01/02/2021,SANT ADRIÀ DE BESÒS,Home,Positiu PCR,4
01/02/2021,SANT ADRIÀ DE BESÒS,Home,Positiu TAR,9
01/02/2021,SANT ADRIÀ DE BESÒS,Home,Positiu per ELISA,3
01/02/2021,SANTA COLOMA DE GRAMENET,Dona,Positiu PCR,20
01/02/2021,SANTA COLOMA DE GRAMENET,Dona,Positiu TAR,14
01/02/2021,SANTA COLOMA DE GRAMENET,Home,Positiu PCR,17
01/02/2021,SANTA COLOMA DE GRAMENET,Home,Positiu TAR,16
01/02/2022,BADALONA,Dona,Positiu PCR,24
01/02/2022,BADALONA,Dona,Positiu TAR,193
01/02/2022,BADALONA,Home,Positiu PCR,24
01/02/2022,BADALONA,Home,Positiu TAR,183
01/02/2022,BARCELONA,Dona,PCR probable,3
01/02/2022,BARCELONA,Dona,Positiu PCR,213
01/02/2022,BARCELONA,Dona,Positiu TAR,1379
01/02/2022,BARCELONA,Dona,Positiu per ELISA,1
01/02/2022,BARCELONA,Dona,Positiu per Test Ràpid,1
01/02/2022,BARCELONA,Home,PCR probable,4
01/02/2022,BARCELONA,Home,Positiu PCR,159
01/02/2022,BARCELONA,Home,Positiu TAR,1134
01/02/2022,BARCELONA,Home,Positiu per ELISA,1
01/02/2022,L'HOSPITALET DE LLOBREGAT,Dona,Positiu PCR,33
01/02/2022,L'HOSPITALET DE LLOBREGAT,Dona,Positiu TAR,155
01/02/2022,L'HOSPITALET DE LLOBREGAT,Home,Positiu PCR,21
01/02/2022,L'HOSPITALET DE LLOBREGAT,Home,Positiu TAR,142
01/02/2022,SANT ADRIÀ DE BESÒS,Dona,Positiu TAR,23
01/02/2022,SANT ADRIÀ DE BESÒS,Home,Positiu PCR,1
01/02/2022,SANT ADRIÀ DE BESÒS,Home,Positiu TAR,24
01/02/2022,SANTA COLOMA DE GRAMENET,Dona,Positiu PCR,9
01/02/2022,SANTA COLOMA DE GRAMENET,Dona,Positiu TAR,86
01/02/2022,SANTA COLOMA DE GRAMENET,Home,Positiu PCR,5
01/02/2022,SANTA COLOMA DE GRAMENET,Home,Positiu TAR,69
01/03/2020,BARCELONA,Dona,Positiu PCR,2
01/03/2020,BARCELONA,Home,Positiu PCR,2
01/03/2021,BADALONA,Dona,Epidemiològic,1
01/03/2021,BADALONA,Dona,Positiu PCR,24
01/03/2021,BADALONA,Dona,Positiu TAR,18
01/03/2021,BADALONA,Dona,Positiu per ELISA,4
01/03/2021,BADALONA,Home,Positiu PCR,22
01/03/2021,BADALONA,Home,Positiu TAR,12
01/03/2021,BADALONA,Home,Positiu per ELISA,7
01/03/2021,BARCELONA,Dona,Positiu PCR,65
01/03/2021,BARCELONA,Dona,Positiu TAR,114
01/03/2021,BARCELONA,Dona,Positiu per ELISA,19
01/03/2021,BARCELONA,Dona,Positiu per Test Ràpid,1
01/03/2021,BARCELONA,Home,PCR probable,1
01/03/2021,BARCELONA,Home,Positiu PCR,74
01/03/2021,BARCELONA,Home,Positiu TAR,101
01/03/2021,BARCELONA,Home,Positiu per ELISA,18
01/03/2021,BARCELONA,Home,Positiu per Test Ràpid,4
01/03/2021,L'HOSPITALET DE LLOBREGAT,Dona,Positiu PCR,28
01/03/2021,L'HOSPITALET DE LLOBREGAT,Dona,Positiu TAR,17
01/03/2021,L'HOSPITALET DE LLOBREGAT,Home,PCR probable,2
01/03/2021,L'HOSPITALET DE LLOBREGAT,Home,Positiu PCR,22
01/03/2021,L'HOSPITALET DE LLOBREGAT,Home,Positiu TAR,8
01/03/2021,SANT ADRIÀ DE BESÒS,Home,Positiu TAR,3
01/03/2021,SANTA COLOMA DE GRAMENET,Dona,Positiu PCR,7
01/03/2021,SANTA COLOMA DE GRAMENET,Dona,Positiu TAR,4
01/03/2021,SANTA COLOMA DE GRAMENET,Dona,Positiu per ELISA,1
01/03/2021,SANTA COLOMA DE GRAMENET,Home,Positiu PCR,8
01/03/2021,SANTA COLOMA DE GRAMENET,Home,Positiu TAR,4
01/03/2022,BADALONA,Dona,Positiu PCR,2
01/03/2022,BADALONA,Dona,Positiu TAR,57
01/03/2022,BADALONA,Home,Positiu PCR,1
01/03/2022,BADALONA,Home,Positiu TAR,36
01/03/2022,BARCELONA,Dona,PCR probable,1
01/03/2022,BARCELONA,Dona,Positiu PCR,67
01/03/2022,BARCELONA,Dona,Positiu TAR,412
01/03/2022,BARCELONA,Dona,Positiu per ELISA,1
01/03/2022,BARCELONA,Home,PCR probable,1
01/03/2022,BARCELONA,Home,Positiu PCR,62
01/03/2022,BARCELONA,Home,Positiu TAR,273
01/03/2022,BARCELONA,Home,Positiu per ELISA,2
01/03/2022,L'HOSPITALET DE LLOBREGAT,Dona,PCR probable,1
01/03/2022,L'HOSPITALET DE LLOBREGAT,Dona,Positiu PCR,9
01/03/2022,L'HOSPITALET DE LLOBREGAT,Dona,Positiu TAR,51
01/03/2022,L'HOSPITALET DE LLOBREGAT,Home,Positiu PCR,4
01/03/2022,L'HOSPITALET DE LLOBREGAT,Home,Positiu TAR,23
01/03/2022,SANT ADRIÀ DE BESÒS,Dona,Positiu PCR,1
01/03/2022,SANT ADRIÀ DE BESÒS,Dona,Positiu TAR,8
01/03/2022,SANT ADRIÀ DE BESÒS,Home,Positiu TAR,3
01/03/2022,SANTA COLOMA DE GRAMENET,Dona,Positiu PCR,1
01/03/2022,SANTA COLOMA DE GRAMENET,Dona,Positiu TAR,16
01/03/2022,SANTA COLOMA DE GRAMENET,Home,PCR probable,1
01/03/2022,SANTA COLOMA DE GRAMENET,Home,Positiu PCR,3
01/03/2022,SANTA COLOMA DE GRAMENET,Home,Positiu TAR,18
01/04/2020,BADALONA,Dona,Epidemiològic,2
01/04/2020,BADALONA,Dona,Positiu PCR,20
01/04/2020,BADALONA,Dona,Positiu per ELISA,5
01/04/2020,BADALONA,Home,Epidemiològic,1
01/04/2020,BADALONA,Home,Positiu PCR,20
01/04/2020,BADALONA,Home,Positiu per ELISA,2
01/04/2020,BARCELONA,Dona,PCR probable,14
01/04/2020,BARCELONA,Dona,Positiu PCR,173
01/04/2020,BARCELONA,Dona,Positiu per ELISA,37
01/04/2020,BARCELONA,Dona,Positiu per Test Ràpid,1
01/04/2020,BARCELONA,Home,PCR probable,13
01/04/2020,BARCELONA,Home,Positiu PCR,118
01/04/2020,BARCELONA,Home,Positiu TAR,1
01/04/2020,BARCELONA,Home,Positiu per ELISA,19
01/04/2020,BARCELONA,Home,Positiu per Test Ràpid,2
01/04/2020,L'HOSPITALET DE LLOBREGAT,Dona,Epidemiològic,1
01/04/2020,L'HOSPITALET DE LLOBREGAT,Dona,PCR probable,1
01/04/2020,L'HOSPITALET DE LLOBREGAT,Dona,Positiu PCR,43
01/04/2020,L'HOSPITALET DE LLOBREGAT,Dona,Positiu per ELISA,3
01/04/2020,L'HOSPITALET DE LLOBREGAT,Dona,Positiu per Test Ràpid,1
01/04/2020,L'HOSPITALET DE LLOBREGAT,Home,Epidemiològic,1
01/04/2020,L'HOSPITALET DE LLOBREGAT,Home,PCR probable,1
01/04/2020,L'HOSPITALET DE LLOBREGAT,Home,Positiu PCR,34
01/04/2020,L'HOSPITALET DE LLOBREGAT,Home,Positiu per ELISA,2
01/04/2020,SANT ADRIÀ DE BESÒS,Dona,Positiu PCR,2
01/04/2020,SANTA COLOMA DE GRAMENET,Dona,Epidemiològic,7
01/04/2020,SANTA COLOMA DE GRAMENET,Dona,Positiu PCR,54
01/04/2020,SANTA COLOMA DE GRAMENET,Dona,Positiu per ELISA,3
01/04/2020,SANTA COLOMA DE GRAMENET,Home,Epidemiològic,10
01/04/2020,SANTA COLOMA DE GRAMENET,Home,PCR probable,1
01/04/2020,SANTA COLOMA DE GRAMENET,Home,Positiu PCR,11
01/04/2020,SANTA COLOMA DE GRAMENET,Home,Positiu per ELISA,1
01/04/2021,BADALONA,Dona,Positiu PCR,13
01/04/2021,BADALONA,Dona,Positiu TAR,3
01/04/2021,BADALONA,Dona,Positiu per ELISA,2
01/04/2021,BADALONA,Home,Positiu PCR,13
01/04/2021,BADALONA,Home,Positiu TAR,3
01/04/2021,BADALONA,Home,Positiu per ELISA,3
01/04/2021,BARCELONA,Dona,PCR probable,1
01/04/2021,BARCELONA,Dona,Positiu PCR,108
01/04/2021,BARCELONA,Dona,Positiu TAR,64
01/04/2021,BARCELONA,Dona,Positiu per ELISA,17
01/04/2021,BARCELONA,Dona,Positiu per Test Ràpid,1
01/04/2021,BARCELONA,Home,Positiu PCR,105
01/04/2021,BARCELONA,Home,Positiu TAR,68
01/04/2021,BARCELONA,Home,Positiu per ELISA,15
01/04/2021,BARCELONA,Home,Positiu per Test Ràpid,1
01/04/2021,L'HOSPITALET DE LLOBREGAT,Dona,PCR probable,1
01/04/2021,L'HOSPITALET DE LLOBREGAT,Dona,Positiu PCR,21
01/04/2021,L'HOSPITALET DE LLOBREGAT,Dona,Positiu TAR,11
01/04/2021,L'HOSPITALET DE LLOBREGAT,Home,Positiu PCR,20
01/04/2021,L'HOSPITALET DE LLOBREGAT,Home,Positiu TAR,18
01/04/2021,SANT ADRIÀ DE BESÒS,Dona,Positiu PCR,2
01/04/2021,SANT ADRIÀ DE BESÒS,Dona,Positiu TAR,3
01/04/2021,SANT ADRIÀ DE BESÒS,Dona,Positiu per ELISA,3
01/04/2021,SANT ADRIÀ DE BESÒS,Home,Positiu PCR,3
01/04/2021,SANT ADRIÀ DE BESÒS,Home,Positiu TAR,3
01/04/2021,SANTA COLOMA DE GRAMENET,Dona,Positiu PCR,6
01/04/2021,SANTA COLOMA DE GRAMENET,Dona,Positiu TAR,13
01/04/2021,SANTA COLOMA DE GRAMENET,Home,Positiu PCR,9
01/04/2021,SANTA COLOMA DE GRAMENET,Home,Positiu TAR,5
01/04/2022,BADALONA,Dona,Positiu PCR,3
01/04/2022,BADALONA,Dona,Positiu TAR,7
01/04/2022,BADALONA,Home,Positiu TAR,4
01/04/2022,BARCELONA,Dona,Positiu PCR,36
01/04/2022,BARCELONA,Dona,Positiu TAR,117
01/04/2022,BARCELONA,Dona,Positiu per ELISA,1
01/04/2022,BARCELONA,Home,Positiu PCR,19
01/04/2022,BARCELONA,Home,Positiu TAR,74
01/04/2022,BARCELONA,Home,Positiu per ELISA,3
01/04/2022,L'HOSPITALET DE LLOBREGAT,Dona,Positiu PCR,6
01/04/2022,L'HOSPITALET DE LLOBREGAT,Dona,Positiu TAR,19
01/04/2022,L'HOSPITALET DE LLOBREGAT,Home,Positiu PCR,2
01/04/2022,L'HOSPITALET DE LLOBREGAT,Home,Positiu TAR,6
01/04/2022,SANT ADRIÀ DE BESÒS,Dona,Positiu PCR,1
01/04/2022,SANT ADRIÀ DE BESÒS,Dona,Positiu TAR,1
01/04/2022,SANT ADRIÀ DE BESÒS,Home,Positiu TAR,2
01/04/2022,SANTA COLOMA DE GRAMENET,Dona,PCR probable,1
01/04/2022,SANTA COLOMA DE GRAMENET,Dona,Positiu PCR,1
01/04/2022,SANTA COLOMA DE GRAMENET,Dona,Positiu TAR,10
01/04/2022,SANTA COLOMA DE GRAMENET,Home,Positiu PCR,1
01/04/2022,SANTA COLOMA DE GRAMENET,Home,Positiu TAR,1
01/05/2020,BADALONA,Dona,Epidemiològic,2
01/05/2020,BADALONA,Dona,PCR probable,1
01/05/2020,BADALONA,Dona,Positiu PCR,7
01/05/2020,BADALONA,Dona,Positiu per ELISA,7
01/05/2020,BADALONA,Home,Epidemiològic,1
01/05/2020,BADALONA,Home,Positiu PCR,1
01/05/2020,BADALONA,Home,Positiu per ELISA,2
01/05/2020,BARCELONA,Dona,Epidemiològic,27
01/05/2020,BARCELONA,Dona,PCR probable,7
01/05/2020,BARCELONA,Dona,Positiu PCR,29
01/05/2020,BARCELONA,Dona,Positiu per ELISA,58
01/05/2020,BARCELONA,Dona,Positiu per Test Ràpid,1
01/05/2020,BARCELONA,Home,Epidemiològic,20
01/05/2020,BARCELONA,Home,PCR probable,1
01/05/2020,BARCELONA,Home,Positiu PCR,26
01/05/2020,BARCELONA,Home,Positiu TAR,1
01/05/2020,BARCELONA,Home,Positiu per ELISA,40
01/05/2020,L'HOSPITALET DE LLOBREGAT,Dona,Epidemiològic,2
01/05/2020,L'HOSPITALET DE LLOBREGAT,Dona,PCR probable,2
01/05/2020,L'HOSPITALET DE LLOBREGAT,Dona,Positiu PCR,5
01/05/2020,L'HOSPITALET DE LLOBREGAT,Dona,Positiu per ELISA,5
01/05/2020,L'HOSPITALET DE LLOBREGAT,Home,Positiu PCR,4
01/05/2020,L'HOSPITALET DE LLOBREGAT,Home,Positiu per ELISA,2
01/05/2020,SANT ADRIÀ DE BESÒS,Dona,Positiu per ELISA,1
01/05/2020,SANT ADRIÀ DE BESÒS,Home,Positiu per ELISA,2
01/05/2020,SANTA COLOMA DE GRAMENET,Dona,Positiu PCR,2
01/05/2020,SANTA COLOMA DE GRAMENET,Dona,Positiu per ELISA,3
01/05/2020,SANTA COLOMA DE GRAMENET,Home,Epidemiològic,1
01/05/2020,SANTA COLOMA DE GRAMENET,Home,Positiu PCR,4
01/05/2020,SANTA COLOMA DE GRAMENET,Home,Positiu per ELISA,1
01/05/2021,BADALONA,Dona,Positiu PCR,7
01/05/2021,BADALONA,Dona,Positiu TAR,2
01/05/2021,BADALONA,Dona,Positiu per ELISA,2
01/05/2021,BADALONA,Home,PCR probable,1
01/05/2021,BADALONA,Home,Positiu PCR,8
01/05/2021,BADALONA,Home,Positiu TAR,2
01/05/2021,BARCELONA,Dona,PCR probable,1
01/05/2021,BARCELONA,Dona,Positiu PCR,17
01/05/2021,BARCELONA,Dona,Positiu TAR,19
01/05/2021,BARCELONA,Dona,Positiu per ELISA,6
01/05/2021,BARCELONA,Home,Positiu PCR,15
01/05/2021,BARCELONA,Home,Positiu TAR,21
01/05/2021,BARCELONA,Home,Positiu per ELISA,8
01/05/2021,BARCELONA,Home,Positiu per Test Ràpid,2
01/05/2021,L'HOSPITALET DE LLOBREGAT,Dona,Positiu PCR,4
01/05/2021,L'HOSPITALET DE LLOBREGAT,Dona,Positiu TAR,5
01/05/2021,L'HOSPITALET DE LLOBREGAT,Home,Positiu TAR,3
01/05/2021,SANT ADRIÀ DE BESÒS,Home,Positiu PCR,2
01/05/2021,SANTA COLOMA DE GRAMENET,Dona,Positiu TAR,2
01/05/2021,SANTA COLOMA DE GRAMENET,Home,Positiu PCR,2
01/05/2021,SANTA COLOMA DE GRAMENET,Home,Positiu TAR,3
01/05/2022,BADALONA,Dona,Positiu PCR,1
01/05/2022,BADALONA,Dona,Positiu TAR,11
01/05/2022,BADALONA,Dona,Positiu per ELISA,1
01/05/2022,BADALONA,Home,Positiu PCR,1
01/05/2022,BADALONA,Home,Positiu TAR,6
01/05/2022,BARCELONA,Dona,Positiu PCR,29
01/05/2022,BARCELONA,Dona,Positiu TAR,153
01/05/2022,BARCELONA,Home,Positiu PCR,18
01/05/2022,BARCELONA,Home,Positiu TAR,81
01/05/2022,L'HOSPITALET DE LLOBREGAT,Dona,Positiu PCR,5
01/05/2022,L'HOSPITALET DE LLOBREGAT,Dona,Positiu TAR,8
01/05/2022,L'HOSPITALET DE LLOBREGAT,Home,Positiu PCR,1
01/05/2022,L'HOSPITALET DE LLOBREGAT,Home,Positiu TAR,7
01/05/2022,SANT ADRIÀ DE BESÒS,Dona,Positiu TAR,5
01/05/2022,SANT ADRIÀ DE BESÒS,Home,Positiu TAR,3
01/05/2022,SANTA COLOMA DE GRAMENET,Dona,Positiu TAR,7
01/05/2022,SANTA COLOMA DE GRAMENET,Home,Positiu PCR,2
01/05/2022,SANTA COLOMA DE GRAMENET,Home,Positiu TAR,6
01/06/2020,BADALONA,Dona,Positiu per ELISA,3
01/06/2020,BARCELONA,Dona,Positiu PCR,3
01/06/2020,BARCELONA,Dona,Positiu per Test Ràpid,3
01/06/2020,BARCELONA,Home,Positiu PCR,2
01/06/2020,BARCELONA,Home,Positiu TAR,1
01/06/2020,BARCELONA,Home,Positiu per ELISA,1
01/06/2020,L'HOSPITALET DE LLOBREGAT,Dona,Positiu PCR,2
01/06/2020,L'HOSPITALET DE LLOBREGAT,Dona,Positiu per Test Ràpid,1
01/06/2020,L'HOSPITALET DE LLOBREGAT,Home,Positiu PCR,2
01/06/2020,SANTA COLOMA DE GRAMENET,Dona,Positiu PCR,1
01/06/2020,SANTA COLOMA DE GRAMENET,Home,Positiu per ELISA,1
01/06/2021,BADALONA,Dona,Positiu PCR,5
01/06/2021,BADALONA,Dona,Positiu TAR,1
01/06/2021,BADALONA,Home,Positiu PCR,2
01/06/2021,BADALONA,Home,Positiu TAR,2
01/06/2021,BADALONA,Home,Positiu per ELISA,3
01/06/2021,BARCELONA,Dona,PCR probable,1
01/06/2021,BARCELONA,Dona,Positiu PCR,37
01/06/2021,BARCELONA,Dona,Positiu TAR,40
01/06/2021,BARCELONA,Dona,Positiu per ELISA,5
01/06/2021,BARCELONA,Home,Positiu PCR,42
01/06/2021,BARCELONA,Home,Positiu TAR,34
01/06/2021,BARCELONA,Home,Positiu per ELISA,8
01/06/2021,BARCELONA,Home,Positiu per Test Ràpid,2
01/06/2021,L'HOSPITALET DE LLOBREGAT,Dona,PCR probable,1
01/06/2021,L'HOSPITALET DE LLOBREGAT,Dona,Positiu PCR,8
01/06/2021,L'HOSPITALET DE LLOBREGAT,Dona,Positiu TAR,8
01/06/2021,L'HOSPITALET DE LLOBREGAT,Dona,Positiu per ELISA,2
01/06/2021,L'HOSPITALET DE LLOBREGAT,Home,Positiu PCR,14
01/06/2021,L'HOSPITALET DE LLOBREGAT,Home,Positiu TAR,5
01/06/2021,SANT ADRIÀ DE BESÒS,Dona,Positiu PCR,1
01/06/2021,SANT ADRIÀ DE BESÒS,Dona,Positiu TAR,1
01/06/2021,SANT ADRIÀ DE BESÒS,Home,Positiu PCR,1
01/06/2021,SANTA COLOMA DE GRAMENET,Dona,Positiu TAR,3
01/06/2021,SANTA COLOMA DE GRAMENET,Home,Positiu PCR,2
01/06/2022,BADALONA,Dona,Positiu PCR,5
01/06/2022,BADALONA,Dona,Positiu TAR,27
01/06/2022,BADALONA,Home,Positiu PCR,9
01/06/2022,BADALONA,Home,Positiu TAR,12
01/06/2022,BARCELONA,Dona,Positiu PCR,76
01/06/2022,BARCELONA,Dona,Positiu TAR,261
01/06/2022,BARCELONA,Dona,Positiu per Test Ràpid,1
01/06/2022,BARCELONA,Home,Positiu PCR,50
01/06/2022,BARCELONA,Home,Positiu TAR,132
01/06/2022,L'HOSPITALET DE LLOBREGAT,Dona,Positiu PCR,4
01/06/2022,L'HOSPITALET DE LLOBREGAT,Dona,Positiu TAR,20
01/06/2022,L'HOSPITALET DE LLOBREGAT,Home,Positiu PCR,7
01/06/2022,L'HOSPITALET DE LLOBREGAT,Home,Positiu TAR,17
01/06/2022,SANT ADRIÀ DE BESÒS,Dona,Positiu TAR,2
01/06/2022,SANT ADRIÀ DE BESÒS,Home,Positiu PCR,1
01/06/2022,SANT ADRIÀ DE BESÒS,Home,Positiu TAR,1
01/06/2022,SANTA COLOMA DE GRAMENET,Dona,Positiu PCR,1
01/06/2022,SANTA COLOMA DE GRAMENET,Dona,Positiu TAR,13
01/06/2022,SANTA COLOMA DE GRAMENET,Home,Positiu PCR,5
01/06/2022,SANTA COLOMA DE GRAMENET,Home,Positiu TAR,12
01/07/2020,BADALONA,Dona,Positiu PCR,3
01/07/2020,BADALONA,Dona,Positiu per ELISA,5
01/07/2020,BADALONA,Home,Positiu PCR,1
01/07/2020,BADALONA,Home,Positiu per ELISA,7
01/07/2020,BARCELONA,Dona,PCR probable,1
01/07/2020,BARCELONA,Dona,Positiu PCR,21
01/07/2020,BARCELONA,Dona,Positiu TAR,1
01/07/2020,BARCELONA,Dona,Positiu per ELISA,31
01/07/2020,BARCELONA,Dona,Positiu per Test Ràpid,37
01/07/2020,BARCELONA,Home,PCR probable,2
01/07/2020,BARCELONA,Home,Positiu PCR,19
01/07/2020,BARCELONA,Home,Positiu TAR,1
01/07/2020,BARCELONA,Home,Positiu per ELISA,25
01/07/2020,BARCELONA,Home,Positiu per Test Ràpid,26
01/07/2020,L'HOSPITALET DE LLOBREGAT,Dona,PCR probable,3
01/07/2020,L'HOSPITALET DE LLOBREGAT,Dona,Positiu PCR,6
01/07/2020,L'HOSPITALET DE LLOBREGAT,Dona,Positiu per ELISA,1
01/07/2020,L'HOSPITALET DE LLOBREGAT,Home,Positiu PCR,4
01/07/2020,L'HOSPITALET DE LLOBREGAT,Home,Positiu TAR,1
01/07/2020,L'HOSPITALET DE LLOBREGAT,Home,Positiu per ELISA,3
01/07/2020,SANT ADRIÀ DE BESÒS,Home,Positiu per ELISA,3
01/07/2020,SANTA COLOMA DE GRAMENET,Dona,Positiu per ELISA,2
01/07/2020,SANTA COLOMA DE GRAMENET,Home,Positiu per ELISA,1
01/07/2020,SANTA COLOMA DE GRAMENET,Home,Positiu per Test Ràpid,1
01/07/2021,BADALONA,Dona,Positiu PCR,38
01/07/2021,BADALONA,Dona,Positiu TAR,37
01/07/2021,BADALONA,Dona,Positiu per ELISA,1
01/07/2021,BADALONA,Dona,Positiu per Test Ràpid,1
01/07/2021,BADALONA,Home,Positiu PCR,42
01/07/2021,BADALONA,Home,Positiu TAR,51
01/07/2021,BADALONA,Home,Positiu per ELISA,1
01/07/2021,BARCELONA,Dona,PCR probable,1
01/07/2021,BARCELONA,Dona,Positiu PCR,428
01/07/2021,BARCELONA,Dona,Positiu TAR,576
01/07/2021,BARCELONA,Dona,Positiu per ELISA,10
01/07/2021,BARCELONA,Dona,Positiu per Test Ràpid,1
01/07/2021,BARCELONA,Home,PCR probable,1
01/07/2021,BARCELONA,Home,Positiu PCR,421
01/07/2021,BARCELONA,Home,Positiu TAR,627
01/07/2021,BARCELONA,Home,Positiu per ELISA,4
01/07/2021,L'HOSPITALET DE LLOBREGAT,Dona,PCR probable,1
01/07/2021,L'HOSPITALET DE LLOBREGAT,Dona,Positiu PCR,51
01/07/2021,L'HOSPITALET DE LLOBREGAT,Dona,Positiu TAR,40
01/07/2021,L'HOSPITALET DE LLOBREGAT,Home,PCR probable,1
01/07/2021,L'HOSPITALET DE LLOBREGAT,Home,Positiu PCR,35
01/07/2021,L'HOSPITALET DE LLOBREGAT,Home,Positiu TAR,45
01/07/2021,SANT ADRIÀ DE BESÒS,Dona,Positiu PCR,3
